Fold,Call-50,Fold,Raise-100,Raise-400,Check,Check,Check,Fold,Fold,Fold,Call-75,Check,Check,Check,Fold,Call-50,Check,Check,Bet-100,Call-50,Check,Fold,Raise-100,Call-100,Call-325,Fold,Call-50,Fold,Raise-200,0.4,0.5
Fold,Call-25,Fold,Call-100,Fold,Fold,Fold,All in,Fold,Call-50,Check,Check,Check,Fold,Call-50,Bet-50,Call-100,Fold,All in,Call-50,Fold,Call-50,Fold,Check,Check,Bet-50,Fold,Fold,All in,Call-50,0.4,0.2
Raise-600,Check,Bet-750,Fold,Fold,Fold,Call-50,Call-100,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Call-100,Raise-400,Raise-2100,Fold,Fold,Call-125,Fold,Fold,Fold,Fold,Fold,Fold,Check,0.75,0.5
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Call-50,Raise-600,Fold,Fold,Fold,Fold,0.9,0.1
Bet-250,Call-50,Check,Fold,Fold,Call-50,Check,Check,Check,Fold,Check,Check,Check,Bet-50,Call-25,Check,Fold,Raise-100,Raise-1200,Bet-1500,Raise-100,Fold,Raise-100,Fold,Call-50,Fold,Raise-100,Fold,Raise-100,Fold,0.4,0.5
Check,Fold,Call-50,Bet-50,Raise-250,Call-1000,Check,Fold,Fold,All in,Call-50,Fold,Call-50,Fold,Fold,Fold,Fold,Call-100,Check,Check,Bet-200,Fold,Call-50,Fold,Check,Check,Check,Check,Raise-100,Fold,0.4,0.2
Raise-100,Check,Check,Check,Fold,Call-25,Fold,Call-50,Check,Check,Check,Call-50,Fold,Call-50,Check,Check,Check,Check,Check,Check,Check,Call-25,Check,Bet-50,Call-50,Fold,Call-50,Call-50,Fold,Check,0.4,0.5
Fold,Fold,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Raise-200,Fold,Fold,Call-50,Check,Check,Check,Call-50,Check,Check,Check,Check,Check,Fold,Raise-100,Fold,Fold,Call-50,Check,Check,0.75,0.5
Check,Check,Check,Call-50,Check,Fold,Fold,Fold,Call-50,Fold,Call-50,Check,Check,Fold,Call-50,Check,Check,Check,Check,Check,Check,Check,Call-75,Check,Check,Bet-250,Call-50,Check,Check,Check,0.4,0.2
Fold,Fold,Fold,Call-50,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Raise-1250,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Raise-450,Fold,0.9,0.1
Check,Bet-150,Call-25,Check,Check,Check,Call-50,Check,Check,Check,Raise-100,Check,Check,Fold,Call-50,Check,Check,Check,Fold,Call-25,Check,Check,Fold,Call-50,Check,Check,Check,Raise-100,Fold,Check,0.4,0.5
Check,Check,Check,Check,Fold,Fold,Fold,Fold,Check,Check,Check,Fold,Fold,Fold,Call-50,Fold,Call-50,Check,Check,Check,Fold,Fold,Fold,Fold,Call-50,Check,Fold,Raise-800,Fold,Fold,0.75,0.5
Call-50,Check,Bet-50,Check,Check,Check,Check,Fold,Fold,Call-50,Check,Check,Check,Call-50,Fold,Call-25,Check,Check,Check,Fold,All in,Call-50,Bet-50,Call-50,Fold,Fold,Call-50,Check,Check,Check,0.4,0.2
Check,Check,Raise-600,Fold,Call-50,Check,Check,Bet-50,Raise-100,Fold,Check,Check,Fold,Raise-100,Fold,Fold,Call-50,Call-50,Check,Check,Check,Check,Check,Check,Check,Raise-100,Call-525,Check,Check,Fold,0.4,0.5
Check,Check,Check,Call-50,Raise-600,Check,Bet-450,Raise-100,Raise-150,Check,Fold,Call-50,Check,Check,Check,Call-50,Call-150,Check,Check,Check,Call-50,Check,Check,Check,Fold,Call-75,Check,Fold,Call-50,Check,0.4,0.2
Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,0.9,0.1
Fold,Fold,Fold,Raise-150,Check,Check,Check,Call-25,Check,Check,Check,Raise-100,Check,Check,Check,Raise-100,Bet-50,Call-50,Check,Check,Check,Check,Check,Fold,Fold,Call-50,Check,Check,Fold,Call-50,0.4,0.5
Fold,Fold,Fold,Call-50,Call-125,Bet-200,Fold,Fold,Check,Check,Check,Check,Call-75,Check,Check,Check,Fold,Fold,Fold,Raise-200,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,Check,0.75,0.5
Check,Call-50,Bet-50,Call-50,Fold,Check,Check,Check,Bet-100,Call-25,Check,Check,Bet-100,Call-50,Check,Fold,Fold,Call-50,Fold,Fold,Fold,Call-9437,Call-50,Check,Fold,Fold,Call-25,Fold,Call-50,Check,0.4,0.2
Check,Check,Check,Fold,Fold,Fold,Fold,All in,Fold,Fold,Fold,Fold,Check,Check,Check,Check,Fold,Fold,Fold,Check,Check,Check,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check,0.9,0.1
Check,Call-50,Fold,Fold,Call-50,Check,Bet-50,Call-50,Check,Check,Check,Fold,Fold,Call-50,Check,Check,Check,Call-25,Call-50,Bet-50,Fold,Call-25,Fold,Fold,Call-25,Call-50,Check,Check,Check,Call-50,0.4,0.2
Raise-350,Fold,Raise-150,Fold,Raise-150,Raise-150,Fold,Raise-150,Bet-50,Fold,Fold,Fold,Raise-150,Check,Fold,Raise-150,Check,Check,Check,Raise-150,Check,All in,Fold,Raise-200,Fold,Raise-150,Bet-50,Raise-150,Fold,Raise-150,0.3,0.7
Call-50,Fold,All in,Fold,Fold,Call-150,Raise-1800,All in,Call-150,Fold,Call-50,Fold,Call-50,Fold,Raise-350,Fold,Call-150,Check,Check,Check,Call-150,Check,All in,Call-50,Fold,Call-50,Fold,Fold,Fold,Fold,0.4,0.2
